INDEX:198:<ulong>,amplitude:198:<double>,average:198:<double>,change_percentage:198:<double>,close_price:198:<double>,divergence_h_highest:198:<double>,divergence_h_lowest:198:<double>,highest_price:198:<double>,lowest_price:198:<double>,ma10:198:<double>,ma20:198:<double>,ma3:198:<double>,ma30:198:<double>,ma5:198:<double>,ma60:198:<double>,name:198:<string>,nonrest_float_amount:198:<double>,open_price:198:<double>,ticker:198:<string>,trade_date:198:<string>,tradestatus:198:<double>,turnover_amount:198:<double>,turnover_rate:198:<double>,turnover_vol:198:<double>,turnover_vol_ratio:198:<double>
0,6.87,62.38,3.97,62.39,0,0,63.04,58.92,57.15,55.48,59.94,54.79,58.2,54.93,,0,59.39,300861,2021-05-06,1,196636611.54,7.88,315214900,2.07
1,7.26,61.08,-5.98,58.65,0,0,62.98,58.46,57.4,55.61,60.35,55.04,58.74,54.96,,0,62.38,300861,2021-05-07,1,146682061.14,6,240144000,1.22
2,3.49,59.52,1.98,59.82,0,0,60,57.96,57.75,55.87,60.29,55.31,59.66,55.04,,0,59.35,300861,2021-05-10,1,81410843.88,3.42,136785300,0.59
3,4.96,59.51,-1.08,59.17,0,0,60.76,57.79,57.96,56.13,59.21,55.54,60.01,54.98,,0,59.59,300861,2021-05-11,1,86601992.14,3.64,145530500,0.6
4,7.55,62.06,6.26,62.87,0,0,62.89,58.43,58.7,56.57,60.62,55.93,60.58,55.06,,0,58.58,300861,2021-05-12,1,130723966.4,5.26,210629100,0.97
5,3.39,61.59,-2.73,61.16,0,0,62.3,60.16,59.27,56.98,61.07,56.2,60.33,55.17,,0,62.01,300861,2021-05-13,1,102991100.44,4.18,167226100,0.8
6,6.57,62.91,3.1,63.05,0,0,63.79,59.77,59.98,57.56,62.36,56.5,61.21,55.33,,0,61.08,300861,2021-05-14,1,135207534.9,5.37,214928300,1.19
7,6.66,65.96,5.48,66.51,0,0,66.89,62.69,61.11,58.28,63.57,56.91,62.55,55.55,,0,63.54,300861,2021-05-17,1,199036454.4,7.54,301775900,1.72
8,5.87,67.34,-1.15,65.74,0,0,68.94,65.04,61.94,58.95,65.1,57.31,63.87,55.67,,0,66.51,300861,2021-05-18,1,181824642.03,6.75,270021800,1.3
9,4.21,66.53,-0.24,65.58,0,0,67.3,64.53,62.49,59.53,65.94,57.6,64.41,55.73,,0,65.7,300861,2021-05-19,1,91662161.24,3.44,137780000,0.59
10,5.95,68.2,3.03,67.57,0,0,68.88,64.98,63.01,60.08,66.3,57.99,65.69,55.87,,0,65.58,300861,2021-05-20,1,114827531.53,4.21,168369400,0.77
11,3.38,67.41,-1.75,66.39,0,0,68.5,66.22,63.79,60.59,66.51,58.34,66.36,55.98,,0,67.57,300861,2021-05-21,1,81127416.87,3.01,120343500,0.55
12,4.52,66.35,-0.1,66.32,0,0,67.76,64.76,64.44,61.09,66.76,58.72,66.32,56.06,,0,65.79,300861,2021-05-24,1,85371701.64,3.22,128664300,0.64
13,5.73,68.76,3.76,68.81,0,0,69.48,65.67,65.4,61.68,67.17,59.22,66.93,56.24,,0,65.99,300861,2021-05-25,1,110182570.12,4,160234000,0.97
14,3.15,69.73,1.83,70.07,0,0,70.68,68.51,66.12,62.41,68.4,59.76,67.83,56.47,,0,70,300861,2021-05-26,1,97784768.57,3.51,140237100,0.98
15,5.94,72.78,5.25,73.75,0,0,73.96,69.8,67.38,63.32,70.88,60.45,69.07,56.79,,0,70.05,300861,2021-05-27,1,126857932.93,4.36,174312500,1.21
16,10.07,75.66,0.18,73.88,0,0,79.93,72.5,68.46,64.22,72.57,61.19,70.57,57.07,,0,73.98,300861,2021-05-28,1,250885189.13,8.29,331613400,2.29
17,4.72,74.17,1.19,74.76,0,0,76.29,72.8,69.29,65.2,74.13,61.95,72.25,57.34,,0,74.09,300861,2021-05-31,1,180952045.51,6.1,243981700,1.3
18,3.44,74.96,0.59,75.2,0,0,76.58,74.01,70.23,66.08,74.61,62.71,73.53,57.63,,0,74.3,300861,2021-06-01,1,117913332.95,3.93,157308600,0.75
19,5.08,73.56,-2.79,73.1,0,0,75.99,72.17,70.99,66.74,74.35,63.35,74.14,57.95,,0,75.99,300861,2021-06-02,1,117553264.11,3.99,159816200,0.76
20,3.2,72.89,-0.83,72.49,0,0,74.34,72,71.48,67.24,73.6,63.88,73.89,58.23,,0,72.79,300861,2021-06-03,1,115622138,3.96,158620000,0.74
21,3.01,72,-1.13,71.67,0,0,73.18,71,72.01,67.9,72.42,64.4,73.44,58.54,,0,72,300861,2021-06-04,1,84698455.19,2.94,117629500,0.56
22,3.35,71.66,1.1,72.46,0,0,73,70.6,72.62,68.53,72.21,64.94,72.98,58.89,,0,71.72,300861,2021-06-07,1,76378420.11,2.66,106582000,0.64
23,4.75,73.53,-0.39,72.18,0,0,75.04,71.6,72.96,69.18,72.1,65.44,72.38,59.26,,0,72.9,300861,2021-06-08,1,138543440.34,4.71,188409900,1.35
