INDEX:4885:<ulong>,id:4885:<double>,ticker:4885:<string>,name:4885:<string>,close_price:4885:<double>,change_percentage:4885:<double>,change_amount:4885:<double>,turnover_vol:4885:<double>,turnover_amount:4885:<double>,amplitude:4885:<double>,highest_price:4885:<double>,lowest_price:4885:<double>,open_price:4885:<double>,last_close:4885:<double>,turnover_vol_ratio:4885:<double>,turnover_rate:4885:<double>,ma5:4885:<double>,ma10:4885:<double>,ma20:4885:<double>,ma30:4885:<double>,ma60:4885:<double>,trade_date:4885:<string>
0,1,300064,*ST金刚,1.79,20.13,0.3,776272.0,136210850.0,10.07,1.79,1.64,1.77,1.49,5.1,11.15,0,0,0,0,0,2022-02-21
1,2,300249,依米康,11.74,20.04,1.96,51594.0,60571778.0,0.0,11.74,11.74,11.74,9.78,0.09,1.61,0,0,0,0,0,2022-02-21
2,3,300288,朗玛信息,14.5,20.03,2.42,382065.0,519946704.0,19.78,14.5,12.11,12.11,12.08,5.64,15.39,0,0,0,0,0,2022-02-21
3,4,300846,首都在线,19.96,20.02,3.33,47279.0,94368025.0,0.0,19.96,19.96,19.96,16.63,0.27,1.78,0,0,0,0,0,2022-02-21
4,5,300250,初灵信息,21.82,20.02,3.64,483348.0,1002648944.0,14.41,21.82,19.2,19.25,18.18,1.31,30.33,0,0,0,0,0,2022-02-21
5,6,301126,达嘉维康,23.08,20.02,3.85,167343.0,364473136.0,21.79,23.08,18.89,19.16,19.23,3.25,34.18,0,0,0,0,0,2022-02-21
6,7,300534,陇神戎发,11.69,20.02,1.95,620360.0,652877648.0,20.84,11.69,9.66,9.8,9.74,1.57,20.61,0,0,0,0,0,2022-02-21
7,8,300467,迅游科技,17.81,20.01,2.97,389872.0,677010064.0,15.36,17.81,15.53,15.53,14.84,4.37,26.35,0,0,0,0,0,2022-02-21
8,9,301085,亚康股份,53.86,20.01,8.98,76204.0,405906416.0,6.13,53.86,51.11,52.91,44.88,1.66,38.1,0,0,0,0,0,2022-02-21
9,10,300921,南凌科技,34.68,20.0,5.78,137530.0,461619328.0,13.77,34.68,30.7,31.64,28.9,1.27,22.35,0,0,0,0,0,2022-02-21
10,11,300086,康芝药业,8.52,20.0,1.42,635809.0,495743152.0,21.27,8.52,7.01,7.19,7.1,1.18,14.59,0,0,0,0,0,2022-02-21
11,12,300584,海辰药业,48.01,20.0,8.0,43635.0,209489234.0,0.0,48.01,48.01,48.01,40.01,0.39,6.81,0,0,0,0,0,2022-02-21
12,13,300738,奥飞数据,29.12,19.98,4.85,563962.0,1553816656.0,12.86,29.12,26.0,26.04,24.27,4.93,14.91,0,0,0,0,0,2022-02-21
13,14,300446,*ST乐材,11.11,19.98,1.85,9183.0,10202379.0,0.0,11.11,11.11,11.11,9.26,0.37,0.46,0,0,0,0,0,2022-02-21
14,15,300254,仟源医药,10.75,19.98,1.79,580424.0,596685744.0,15.07,10.75,9.4,9.8,8.96,2.51,27.34,0,0,0,0,0,2022-02-21
15,16,688136,科兴制药,30.6,16.62,4.36,95176.0,290884096.0,8.12,31.49,29.36,31.49,26.24,15.12,14.66,0,0,0,0,0,2022-02-21
16,17,300078,思创医惠,7.25,14.9,0.94,821127.0,579338176.0,19.65,7.57,6.33,6.33,6.31,6.46,10.59,0,0,0,0,0,2022-02-21
17,18,301181,N标榜,46.17,14.71,5.92,138444.0,654369184.0,22.36,53.0,44.0,44.44,40.25,0.0,64.88,0,0,0,0,0,2022-02-21
18,19,300261,雅本化学,29.21,14.5,3.7,1777277.0,4883548416.0,16.5,30.0,25.79,26.98,25.51,1.06,18.76,0,0,0,0,0,2022-02-21
19,20,300895,铜牛信息,52.84,14.27,6.6,184512.0,946689328.0,13.19,54.9,48.8,50.0,46.24,2.26,34.34,0,0,0,0,0,2022-02-21
20,21,301089,拓新药业,116.1,14.24,14.47,111788.0,1226601840.0,16.13,119.5,103.11,103.11,101.63,1.22,40.64,0,0,0,0,0,2022-02-21
21,22,301060,兰卫医学,29.95,13.15,3.48,121123.0,342441904.0,15.45,30.8,26.71,27.0,26.47,2.67,29.83,0,0,0,0,0,2022-02-21
22,23,300603,立昂技术,12.31,12.63,1.38,536946.0,658916576.0,15.46,13.08,11.39,11.39,10.93,2.79,20.94,0,0,0,0,0,2022-02-21
23,24,688316,青云科技-U,54.27,12.2,5.9,13906.0,73877349.0,11.7,55.66,50.0,50.18,48.37,3.42,12.2,0,0,0,0,0,2022-02-21
24,25,300017,网宿科技,7.11,11.97,0.76,2123710.0,1478570432.0,14.33,7.32,6.41,6.46,6.35,5.35,9.34,0,0,0,0,0,2022-02-21
25,26,688158,优刻得-W,27.98,11.92,2.98,172442.0,473393392.0,8.72,28.2,26.02,26.6,25.0,4.39,5.3,0,0,0,0,0,2022-02-21
26,27,300302,同有科技,10.68,11.6,1.11,258656.0,267717520.0,12.12,10.86,9.7,9.78,9.57,4.63,7.37,0,0,0,0,0,2022-02-21
27,28,300521,爱司凯,15.39,11.28,1.56,93595.0,141008976.0,15.69,16.08,13.91,14.18,13.83,5.89,6.5,0,0,0,0,0,2022-02-21
28,29,300287,飞利信,5.87,11.17,0.59,1853614.0,1053686256.0,11.93,5.98,5.35,5.47,5.28,2.72,15.55,0,0,0,0,0,2022-02-21
29,30,300879,大叶股份,21.03,11.03,2.09,69772.0,142133233.0,11.88,21.17,18.92,18.94,18.94,4.28,12.69,0,0,0,0,0,2022-02-21
30,31,300175,朗源股份,4.77,10.93,0.47,451094.0,210851451.0,12.09,4.93,4.41,4.51,4.3,6.55,9.58,0,0,0,0,0,2022-02-21
31,32,300412,迦南科技,16.2,10.66,1.56,435734.0,662984096.0,20.63,17.19,14.17,14.67,14.64,1.96,20.19,0,0,0,0,0,2022-02-21
32,33,300541,先进数通,20.77,10.6,1.99,896483.0,1829525360.0,18.48,22.0,18.53,19.0,18.78,1.35,35.89,0,0,0,0,0,2022-02-21
33,34,835305,云创数据,20.45,10.54,1.95,84632.0,180574230.0,16.49,22.95,19.9,19.9,18.5,10.85,19.65,0,0,0,0,0,2022-02-21
34,35,300966,共同药业,42.22,10.49,4.01,70235.0,291854736.0,18.24,45.0,38.03,38.38,38.21,3.0,24.22,0,0,0,0,0,2022-02-21
35,36,300039,上海凯宝,7.89,10.35,0.74,1588080.0,1170336448.0,21.54,8.37,6.83,7.08,7.15,1.36,17.32,0,0,0,0,0,2022-02-21
36,37,600684,珠江股份,4.13,10.13,0.38,558854.0,224562643.0,12.8,4.13,3.65,3.73,3.75,3.98,6.55,0,0,0,0,0,2022-02-21
37,38,002069,獐子岛,3.7,10.12,0.34,322097.0,114873428.0,10.12,3.7,3.36,3.36,3.36,3.43,4.68,0,0,0,0,0,2022-02-21
38,39,000732,泰禾集团,3.27,10.1,0.3,2305055.0,733114608.0,8.75,3.27,3.01,3.09,2.97,1.32,9.27,0,0,0,0,0,2022-02-21
39,40,600939,重庆建工,6.44,10.09,0.59,917930.0,574658688.0,12.14,6.44,5.73,5.73,5.85,0.85,5.06,0,0,0,0,0,2022-02-21
40,41,000791,甘肃电投,6.99,10.08,0.64,807175.0,550943136.0,8.66,6.99,6.44,6.6,6.35,4.09,5.94,0,0,0,0,0,2022-02-21
41,42,002607,中公教育,7.21,10.08,0.66,1090772.0,756875648.0,10.84,7.21,6.5,6.54,6.55,2.7,6.09,0,0,0,0,0,2022-02-21
42,43,600797,浙大网新,7.65,10.07,0.7,68358.0,52293947.0,0.0,7.65,7.65,7.65,6.95,0.36,0.67,0,0,0,0,0,2022-02-21
43,44,002642,荣联科技,8.2,10.07,0.75,1245981.0,989956640.0,9.26,8.2,7.51,7.61,7.45,0.89,21.32,0,0,0,0,0,2022-02-21
44,45,601789,宁波建工,6.89,10.06,0.63,31246.0,21528287.0,0.0,6.89,6.89,6.89,6.26,0.05,0.32,0,0,0,0,0,2022-02-21
45,46,002231,奥维通信,7.0,10.06,0.64,285797.0,189708217.0,11.01,7.0,6.3,6.41,6.36,1.31,9.69,0,0,0,0,0,2022-02-21
46,47,000158,常山北明,7.22,10.06,0.66,342445.0,244087433.0,5.03,7.22,6.89,6.98,6.56,1.31,2.17,0,0,0,0,0,2022-02-21
47,48,002162,悦心健康,5.47,10.06,0.5,881187.0,452898416.0,13.48,5.47,4.8,4.81,4.97,2.5,10.33,0,0,0,0,0,2022-02-21
48,49,002528,英飞拓,4.05,10.05,0.37,219224.0,86379380.0,9.51,4.05,3.7,3.7,3.68,1.05,2.09,0,0,0,0,0,2022-02-21
49,50,002075,沙钢股份,7.23,10.05,0.66,1384784.0,992336128.0,3.96,7.23,6.97,7.01,6.57,2.69,6.28,0,0,0,0,0,2022-02-21
50,51,000815,美利云,8.0,10.04,0.73,21760.0,17408000.0,0.0,8.0,8.0,8.0,7.27,0.11,0.31,0,0,0,0,0,2022-02-21
51,52,002178,延华智能,5.81,10.04,0.53,504442.0,289701824.0,4.55,5.81,5.57,5.64,5.28,1.49,7.09,0,0,0,0,0,2022-02-21
52,53,600629,华建集团,8.99,10.04,0.82,33858.0,30438378.0,0.0,8.99,8.99,8.99,8.17,0.28,0.54,0,0,0,0,0,2022-02-21
53,54,002104,恒宝股份,15.14,10.03,1.38,2185648.0,3112367552.0,13.01,15.14,13.35,13.68,13.76,0.82,37.16,0,0,0,0,0,2022-02-21
54,55,002758,浙农股份,15.36,10.03,1.4,302160.0,428230800.0,15.04,15.36,13.26,13.27,13.96,2.63,15.49,0,0,0,0,0,2022-02-21
55,56,600774,汉商集团,16.35,10.03,1.49,24748.0,39079134.0,11.04,16.35,14.71,14.99,14.86,3.67,1.09,0,0,0,0,0,2022-02-21
56,57,002922,伊戈尔,18.22,10.02,1.66,262196.0,465334432.0,11.05,18.22,16.39,16.56,16.56,2.35,9.46,0,0,0,0,0,2022-02-21
57,58,001313,粤海饲料,10.32,10.02,0.94,6323.0,6525088.0,0.0,10.32,10.32,10.32,9.38,0.61,0.63,0,0,0,0,0,2022-02-21
58,59,600199,金种子酒,20.97,10.02,1.91,1223667.0,2516223856.0,7.14,20.97,19.61,20.4,19.06,6.18,20.18,0,0,0,0,0,2022-02-21
59,60,605100,华丰股份,27.56,10.02,2.51,59353.0,162290948.0,8.42,27.56,25.45,25.45,25.05,12.33,10.82,0,0,0,0,0,2022-02-21
60,61,603800,道森股份,27.67,10.02,2.52,45103.0,121307264.0,9.98,27.67,25.16,25.17,25.15,1.98,2.17,0,0,0,0,0,2022-02-21
61,62,000584,哈工智能,5.93,10.02,0.54,265081.0,152358410.0,10.39,5.93,5.37,5.38,5.39,3.81,3.61,0,0,0,0,0,2022-02-21
62,63,002757,南兴股份,17.9,10.02,1.63,143691.0,252959570.0,6.27,17.9,16.88,17.25,16.27,1.4,5.17,0,0,0,0,0,2022-02-21
63,64,000779,甘咨询,12.19,10.02,1.11,128714.0,152467191.0,9.75,12.19,11.11,11.7,11.08,0.8,7.21,0,0,0,0,0,2022-02-21
64,65,000503,国新健康,12.19,10.02,1.11,530163.0,623828784.0,9.66,12.19,11.12,11.38,11.08,1.75,5.9,0,0,0,0,0,2022-02-21
65,66,002006,精功科技,24.49,10.02,2.23,251763.0,597332912.0,10.38,24.49,22.18,22.83,22.26,1.39,5.53,0,0,0,0,0,2022-02-21
